CandID,Reg_Date,Opportunity type,Success Story,suc_date,Training Session,Training Type,MG_ID,Cos_ID,Loc_ID
DMCC23033,2021/08/09,Nurturing,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23034,2021/08/10,Prospecting,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23035,2021/08/10,Prospecting,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23036,2021/08/11,Closed Won,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23037,2021/10/10,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23038,2021/10/10,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23039,2021/10/10,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23040,2021/10/11,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23041,2021/10/11,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23042,2021/10/11,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23043,2021/10/11,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23044,2021/10/11,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23045,2021/10/12,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23046,2021/10/12,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23047,2021/10/12,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23048,2021/10/12,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23049,2021/10/12,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23050,2021/10/12,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23051,2021/10/12,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23052,2021/10/13,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23053,2021/10/13,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23054,2021/10/13,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23055,2021/10/14,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23056,2021/10/14,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23057,2021/10/14,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23058,2021/10/14,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23059,2021/10/14,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23060,2021/10/14,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23061,2021/10/14,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23062,2021/10/14,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23063,2021/10/15,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23064,2021/10/15,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23065,2021/10/15,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23066,2021/10/15,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23067,2021/10/15,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23068,2021/10/15,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23069,2021/10/15,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23070,2021/10/19,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23071,2021/10/20,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23072,2021/10/20,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23073,2021/10/20,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23074,2021/10/20,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23075,2021/10/21,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23076,2021/10/22,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23077,2021/11/05,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23078,2021/11/05,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23079,2021/11/08,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23080,2022/05/01,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23081,2022/05/05,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23082,2022/05/05,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23083,2022/05/06,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC23084,2022/05/06,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23085,2022/05/07,Closed Won,NULL,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC23086,2022/05/07,Closed Won,NULL,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC23087,2022/05/08,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC23088,2022/05/08,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23089,2022/05/08,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC23090,2022/05/09,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23091,2022/05/09,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23092,2022/05/09,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC23093,2022/05/10,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23094,2022/05/12,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23095,2022/05/28,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23096,2022/05/30,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23097,2022/05/31,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23098,2022/06/01,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23099,2022/06/01,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230100,2022/06/01,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230101,2022/06/04,Part Paid,NULL,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC230102,2022/06/05,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230103,2022/06/06,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230104,2022/06/08,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230105,2022/06/09,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230106,2022/06/09,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230107,2022/06/09,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230108,2022/06/10,Closed Won,NULL,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC230109,2022/06/10,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230110,2022/06/10,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230111,2022/06/11,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230112,2022/06/13,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230113,2022/06/13,Closed Won,NULL,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC230114,2022/06/13,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230115,2022/06/13,Closed Lost,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230116,2022/06/13,Closed Lost,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230117,2022/06/13,Closed Won,NULL,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC230118,2022/06/15,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230119,2022/06/15,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230120,2022/06/16,Closed Won,NULL,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC230121,2022/06/17,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230122,2022/06/17,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230123,2022/06/17,Closed Won,NULL,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230124,2022/07/02,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230125,2022/07/03,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230126,2022/07/03,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230127,2022/07/03,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230128,2022/07/07,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230129,2022/07/08,Nurturing,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230130,2022/07/10,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230131,2022/07/10,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230132,2022/07/10,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230133,2022/07/11,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230134,2022/07/11,Closed Won,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC230135,2022/07/11,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230136,2022/07/12,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230137,2022/07/12,Closed Lost,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC230138,2022/07/12,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230139,2022/07/13,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230140,2022/07/13,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230141,2022/07/14,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230142,2022/08/09,Committed to Pay,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230143,2022/08/12,Prospecting,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC230144,2022/08/16,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230145,2022/08/17,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230146,2022/08/19,Closed Won,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC230147,2022/08/20,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230148,2022/08/26,Closed Won,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC230149,2022/08/30,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230150,2022/09/03,Prospecting,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230151,2022/09/03,Closed Lost,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230152,2022/09/04,Closed Lost,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230153,2022/09/05,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230154,2022/09/05,Closed Won,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230155,2022/09/05,Committed to Pay,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230156,2022/09/07,Committed to Pay,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230157,2022/09/08,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230158,2022/09/08,Closed Lost,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230159,2022/09/09,Closed Lost,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230160,2022/09/09,Closed Lost,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230161,2022/09/14,Closed Won,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230162,2022/09/16,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230163,2022/09/17,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230164,2022/09/17,Closed Won,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230165,2022/10/03,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230166,2022/10/04,Closed Lost,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230167,2022/10/05,Prospecting,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230168,2022/10/06,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230169,2022/10/07,Closed Lost,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230170,2022/10/08,Closed Lost,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230171,2022/10/10,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230172,2022/10/10,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230173,2022/10/10,Part Paid,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230174,2022/10/11,Closed Won,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230175,2022/10/11,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230176,2022/10/12,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230177,2022/10/14,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230178,2022/10/15,Committed to Pay,NULL,NULL,Weekend,Virtual,MG07,CP01,LC02
DMCC230179,2022/10/15,Part Paid,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230180,2022/10/18,Prospecting,NULL,NULL,Weekend,Virtual,MG07,CP01,LC02
DMCC230181,2022/10/20,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230182,2023/02/15,Prospecting,NULL,NULL,Weekend,Virtual,MG07,CP01,LC02
DMCC230183,2023/02/15,Closed Lost,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230184,2023/02/15,Closed Won,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230185,2023/02/17,Prospecting,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230186,2023/02/17,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230187,2023/02/18,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230188,2023/02/19,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230189,2023/02/19,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230190,2023/02/20,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230191,2023/02/26,Part Paid,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230192,2023/03/29,Closed Lost,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230193,2023/04/02,Nurturing,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230194,2023/04/05,Committed to Pay,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230195,2023/04/05,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230196,2023/04/05,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230197,2023/04/06,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230198,2023/04/06,Closed Won,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230199,2023/04/08,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230200,2023/04/08,Closed Lost,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230201,2023/04/08,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230202,2023/04/10,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230203,2023/04/15,Prospecting,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230204,2023/04/24,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230205,2023/04/24,Nurturing,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230206,2023/04/24,Closed Lost,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230207,2023/04/27,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230208,2023/04/28,Nurturing,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230209,2023/04/28,Closed Lost,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230210,2023/04/29,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230211,2023/04/29,Closed Lost,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230212,2023/04/29,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230213,2023/04/30,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230214,2023/05/03,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230215,2023/05/04,Closed Lost,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230216,2023/05/05,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230217,2023/05/05,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230218,2023/05/05,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230219,2023/05/07,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230220,2023/05/08,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230221,2023/05/08,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230222,2023/05/12,Closed Won,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230223,2023/05/19,Closed Won,NULL,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230224,2023/05/24,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230225,2023/05/25,Closed Won,NULL,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230226,2023/05/27,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230227,2023/05/28,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230228,2023/05/28,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230229,2023/06/03,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230230,2023/06/06,Prospecting,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230231,2023/06/06,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230232,2023/06/23,Part Paid,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230233,2023/06/23,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230234,2023/07/06,Closed Won,NULL,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230235,2023/07/21,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230236,2023/07/21,Closed Won,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230237,2023/07/22,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230238,2023/07/24,Closed Won,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230239,2023/07/30,Closed Lost,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230240,2023/08/05,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230241,2023/08/26,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230242,2023/08/26,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230243,2023/08/31,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230244,2023/09/07,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230245,2023/09/08,Part Paid,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230246,2023/09/09,Nurturing,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230247,2023/09/20,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230248,2023/09/20,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230249,2023/09/22,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230250,2023/09/26,Prospecting,NULL,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC230251,2023/09/26,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230252,2023/09/26,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230253,2023/09/26,Prospecting,NULL,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230254,2023/09/27,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230255,2023/10/01,Closed Lost,NULL,NULL,Weekend,Physical,MG12,CP01,LC02
DMCC230256,2023/10/02,Part Paid,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230257,2023/10/02,Closed Won,NULL,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230258,2023/10/02,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230259,2023/10/06,Prospecting,NULL,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC230260,2023/10/10,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230261,2023/10/11,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230262,2023/10/23,Prospecting,NULL,NULL,Weekend,Physical,MG12,CP01,LC02
DMCC230263,2023/11/08,Closed Won,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230264,2023/11/09,Prospecting,NULL,NULL,Weekend,Physical,MG12,CP01,LC02
DMCC230265,2023/11/22,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230266,2023/11/29,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230267,2023/11/29,Prospecting,NULL,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230268,2023/12/03,Closed Won,NULL,NULL,Weekend,Physical,MG12,CP01,LC02
DMCC230269,2023/12/18,Prospecting,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230270,2023/12/20,Prospecting,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230271,2023/12/20,Closed Won,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230272,2023/12/22,Closed Lost,NULL,NULL,Weekend,Virtual,MG04,CP01,LC02
DMCC230273,2023/12/25,Closed Lost,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230274,2023/12/27,Closed Won,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230275,2023/12/28,Closed Lost,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230276,2023/12/30,Closed Won,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230277,2023/12/30,Closed Lost,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230278,2023/12/30,Closed Lost,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230279,2024/01/01,Prospecting,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230280,2024/01/02,Nurturing,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230281,2024/01/03,Closed Won,NULL,NULL,Weekend,Physical,MG04,CP01,LC02
